"Date","Work","Rating","CriticReview","Url"
"2026-08-04","The Almajiri","3/5","“The Almajiri” Review: Jammal Ibrahim’s Debut Asks Difficult Questions About Education, Faith, and Northern Nigeria’s Future","https://afrocritik.com/jammal-ibrahim-the-almajiri-review/"
"2026-07-30","Agesinkole: King of Thieves 2","2/5","“Agesinkole: King of Thieves 2” Review: Femi Adebayo’s Yoruba Epic Has the Architecture of Greatness But an Overwritten Screenplay","https://afrocritik.com/femi-adebayo-agesinkole-king-of-thieves-2-review/"
"2026-07-24","Remi & Nneoma","2.4/5","“Remi & Nneoma” Review: A Biblical Retelling That Honours Its Source and Flinches From Its Own Boldest Possibilities","https://afrocritik.com/lyndsey-f-efejuku-remi-nneoma-review/"
"2026-07-11","The Anniversary","2.7/5","“The Anniversary” Review: Prosper Edesiri’s Chamber Drama Has a Fascinating Psychological Core It Doesn’t Fully Trust","https://afrocritik.com/prosper-edesiri-the-anniversary-review/"
"2026-07-02","Ìwé Àlà: An Ojude Oba Story","2.3/5","“Ìwé Àlà: An Ojude Oba Story” Review: Adeoluwa Owu Captures the Ojude Oba Beautifully But Surrounds It With a Story That Can’t Keep Up","https://afrocritik.com/adeoluwa-owu-iwe-ala-an-ojude-oba-story-review/"
"2026-06-22","Jail Time Records","4/5","Tribeca Film Festival 2026: “Jail Time Records” Turns a Cameroonian Prison Into the Most Unlikely Stage in the World","https://afrocritik.com/jail-time-records-review-tribeca-film-festival-2026/"
"2026-06-12","Mirrors","2.6/5","“Mirrors” Review: Yemi Morafa’s Two-Hander Is Undone by Its Own Screenplay","https://afrocritik.com/yemi-morafa-mirrors-review/"
"2026-05-15","Efunroye: The Unicorn","2.2/5","“Efunroye: The Unicorn” Review: Nollywood’s Most Politically Charged Historical Epic Chooses Devotion Over Truth","https://afrocritik.com/efunroye-the-unicorn-review/"
"2026-05-12","Trade by Bata","2.2/5","“Trade by Bata” Review: Biodun Stephen’s Culture-Clash Comedy Has One Brilliant Idea but Doesn’t Know What To Do With It","https://afrocritik.com/biodun-stephen-trade-by-bata-review/"
"2026-04-30","Silence is Loud","4/5","“Silence is Loud” Review: Abba T. Makama’s Film Finds Courage Where Society Tells Us to Be Quiet","https://afrocritik.com/abba-t-makama-silence-is-loud-review/"
"2026-04-27","180","2/5","“180” Review: Alex Yazbekʼs Revenge Thriller Is Well-Shot But Lacking In Substance","https://afrocritik.com/alex-yazbek-180-review/"
"2026-04-23","The Creek","1.5/5","“The Creek” Review: Toka McBaror’s Niger Delta Thriller Has the Right Setting and the Wrong Convictions","https://afrocritik.com/toka-mcbaror-the-creek-review/"
"2026-04-10","Headless","2.5/5","“Headless” Review: Michael Ndiomu’s Debut Feature Diagnoses Nollywood’s Rot Without Fully Escaping It","https://afrocritik.com/michael-ndiomu-headless-review/"
"2026-03-06","Muscle","3/5","Berlinale 2026: Karimah Ashaduʼs “Muscle” Turns the Black Male Body Into a Site of Witness","https://afrocritik.com/karimah-ashadu-muscle-review-berlinale-2026/"
"2025-12-16","Colour Me True","2/5","“Colour Me True” Review: Toluwani Obayan Osibe’s Debut Reaches for Truth but Settles for Surface","https://afrocritik.com/toluwani-obayan-osibe-colour-me-true-review/"
"2025-12-15","Nome","4/5","ADIFF 2025: Sana Na N’Hada Examines the Cost of Freedom and the Weight of Memory in “Nome”","https://afrocritik.com/sana-na-nhada-nome-review-adiff-2025/"
"2025-12-12","The Heart is a Muscle","3.7/5","“The Heart is a Muscle” Review: Imran Hamdulay’s Debut Feature Traces the Wounds We Inherit and the Ones We Try to Heal","https://afrocritik.com/imran-hamdulay-the-heart-is-a-muscle-review/"
"2025-12-10","The Banjo Boys","3.8/5","ADIFF 2025: Johan Nayar’s “The Banjo Boys” is a Soul-Stirring Portrait of Music, Faith, and Survival","https://afrocritik.com/johan-nayar-the-banjo-boys-review-adiff-2025/"
"2025-12-08","Rise","4/5","ENIFF 2025: Jessica J. Rowlands Puts Zimbabwean Cinema on the Map with “Rise”","https://afrocritik.com/jessica-j-rowlands-rise-review-eniff-2025/"
"2025-12-04","Afrikki","3.2/5","ENIFF 2025: Gaëlle Le Roy Chronicles a Decade of Youth Resistance in “Afrikki”","https://afrocritik.com/gaelle-le-roy-afrikki-review-eniff-2025/"
"2025-12-02","Water Girl","3.9/5","ENIFF 2025: Nnamdi Kanagaʼs “Water Girl” Reclaims Ogbanje Narratives With Intimacy and Precision","https://afrocritik.com/nnamdi-kanaga-water-girl-review-eniff-2025/"
"2025-11-29","Bad Influencer","3/5","“Bad Influencer” Review: Netflix’s South African Series Is a Stylish, Chaotic Tale of Clout and Consequences","https://afrocritik.com/keitumetse-qhali-ari-kruger-bad-influencer-review/"
"2025-11-19","Radia","3.9/5","AIFF 2025: In “Radia”, Khaoula Assebab Benomar Crafts a Stark Portrait of Widowhood, Agency, and the Cost of Becoming","https://afrocritik.com/khaoula-assebab-benomar-radia-review-aiff-2025/"
"2025-11-14","Double or Nothing","2.2/5","AIFF 2025: Rachida SaadiʼS “Double or Nothing” Is a Gamble on Love and Addiction That Plays It Too Safe","https://afrocritik.com/rachida-saadi-double-or-nothing-review-aiff-2025/"
"2025-11-12","Adunni: Ogidan Binrin","2/5","AIFF 2025: “Adunni: Ogidan Binrin” Is a Story of Resistance Undone by Its Own Execution","https://afrocritik.com/yemi-amodu-adunni-ogidan-binrin-review-aiff-2025/"
"2025-11-11","Lights Out","2.5/5","AIFF 2025: Enah Johnscott Illuminates the Fragility of Memory and the Fading Architecture of Care in “Lights Out”","https://afrocritik.com/enah-johnscott-lights-out-review-aiff-2025/"
"2025-11-10","The Herd","3.4/5","“The Herd” Review: Daniel Etim Effiong’s Debut Feature Is Taut and Human","https://afrocritik.com/daniel-etim-effiong-the-herd-review/"
"2025-11-01","Finding Optel","3/5","“Finding Optel” Review: A Tender, Uneven Portrait of Ordinary Lives and the Quiet Radicalism of Small Stories","https://afrocritik.com/jesse-mikayla-joy-brown-finding-optel-review/"
"2025-10-24","Thinline","2/5","“Thinline” Review: Nollywood’s Dangerous Blind Spot on Male Sexual Assault and the Illusion of Morality","https://afrocritik.com/akay-mason-thinline-review/"
"2025-09-15","The Serpent’s Gift","1.9/5","“The Serpent’s Gift” Review: Kayode Kasum’s Film Is Undone by Shallow Cultural Detail","https://afrocritik.com/kayode-kasum-the-serpents-gift-review/"
"2025-09-10","Say Who Die?","1.7/5","“Say Who Die?” Review: Paul Utomiʼs Film Crumbles Under the Weight of its Own Ambition","https://afrocritik.com/paul-utomi-say-who-die-review/"
"2025-08-16","Devil is a Liar","1.6/5","“Devil is a Liar” Review: Moses Inwangʼs Film Lies About the Story It Is Telling","https://afrocritik.com/moses-inwang-devil-is-a-liar-review/"
"2025-08-14","Cordelia","2.9/5","“Cordelia” Review: Tunde Kelani’s Return to Cinemas is an Ambitious but Inconsistent Adaptation","https://afrocritik.com/tunde-kelani-cordelia-review/"
"2025-08-12","PLS RT","3/5","“PLS RT” Review: Ifeanyi Barbara Chidi’s Film Brings Urgency to Nigeria’s Kidnapping Crisis","https://afrocritik.com/ifeanyi-barbara-chidi-pls-rt-review/"
"2025-08-07","Marked","3.2/5","“Marked” Review: The South African Netflix Series Is a Devastating Portrait of Moral Desperation","https://afrocritik.com/marked-review-the-south-african-netflix-series-is-a-devastating-portrait-of-moral-desperation/"
"2025-07-26","Catalog","3.5/5","“Catalog” Review: The Egyptian Netflix Series Is Quiet But Speaks Volumes","https://afrocritik.com/waleed-el-halfawy-catalog-review/"
"2025-07-05","Ms. Kanyin","1.5/5","“Ms. Kanyin” Review: Jerry Ossaiʼs Wannabe Horror Flick is Forgettable","https://afrocritik.com/jerry-ossai-ms-kanyin-review/"
"2025-06-24","The Moral High Court","2.7/5","“The Moral High Court” Review: Chisom Ifeakandu’s Film Puts Patriarchy on Trial","https://afrocritik.com/chisom-ifeakandu-the-moral-high-court-review/"
"2025-05-26","Soccer Season: Playmaker","2.5/5","“Soccer Season: Playmaker” Review: Stephina Zwane’s Sports Drama Finds Power in Its Humour","https://afrocritik.com/stephina-zwane-soccer-season-playmaker-review/"
"2025-05-19","The Fire and the Moth","2.9/5","“The Fire and the Moth” Review: Taiwo Egunjobi Has Grown in Confidence as a Filmmaker","https://afrocritik.com/taiwo-egunjobi-the-fire-and-the-moth-review/"
"2025-04-28","Landline","2.5/5","“Landline” Review: Dele Doherty’s Debut Feature Is Held Back by Its Own Ambition","https://afrocritik.com/dele-doherty-landline-review/"
"2025-04-24","Meet the Khumalos","1.5/5","“Meet the Khumalos” Review: Will South African Cinema Ever Move Beyond Forbidden Love Tropes?","https://afrocritik.com/meet-the-khumalos-review/"
"2025-04-14","Recall","1.3/5","“Recall” Review: Kunle Afolayan’s Return to the Big Screens Is Largely Forgettable","https://afrocritik.com/kunle-afolayan-recall-review/"
"2025-03-22","Fine Girl","3/5","“Fine Girl” Review: Fatimah Gimsay’s Film Is a Subversive Take On Modern Harassment and Female Empowerment","https://afrocritik.com/fatimah-gimsay-fine-girl-review/"
"2025-03-17","This Is Love","3/5","“This Is Love” Review: Njoku and Nonso’s Documentary Is a Tender Exploration of Queer Nigerian Love and Identity","https://afrocritik.com/this-is-love-review-victor-ugoo-njoku-neec-nonso/"
"2025-02-03","Penance","2/5","“Penance” Review: Awal Abdulfatai’s Film Fails to Deliver on Its Premise","https://afrocritik.com/awal-abdulfatai-penance-review/"
"2025-01-11","Mr Easy Loo","2.9/5","“Mr Easy Loo” Review: The Mandla Ngcongwane-Directed Film Is a Humorous Critique of Apartheid Era South Africa","https://afrocritik.com/mandla-ngcongwane-mr-easy-loo-review/"
"2025-01-04","Dahomey","4/5","“Dahomey” Review: Mati Diop’s Documentary is a Powerful Commentary on Decolonisation","https://afrocritik.com/mati-diop-dahomey-review/"
"2024-12-24","Seven Doors","3.5/5","“Seven Doors” Review: Femi Adebayo’s Directorial Debut is Impressive","https://afrocritik.com/femi-adebayo-seven-doors-review/"
"2024-12-20","A Danfo Christmas","2.9/5","“A Danfo Christmas” Review: Sebastian Ukwa is Committed to Telling Heartfelt Stories","https://afrocritik.com/sebastian-ukwa-a-danfo-christmas-review/"
"2024-12-19","Everybody Loves Jenifa","2.7/5","“Everybody Loves Jenifa” Review: Funke Akindele’s Latest Film Is a Worthy Addition to the ‘Jenifa’ Franchise","https://afrocritik.com/funke-akindele-everybody-loves-jenifa-review/"
"2024-11-27","A Ghetto Love Story","2.9/5","“A Ghetto Love Story” Review: Basketmouth’s First Foray Into Film Production Is Impressive","https://afrocritik.com/basketmouth-a-ghetto-love-story-review/"
"2024-11-19","Umjolo: The Gone Girl","1.5/5","“Umjolo: The Gone Girl” Review: Fikile Mogodi’s Debut Feature Lacks Substance","https://afrocritik.com/fikile-mogodi-umjolo-the-gone-girl-review/"
"2024-11-14","Loose Cannon","2/5","“Loose Cannon” Review: Olisa Eloka’s Short Film Is a Reminder of War’s Devastating Consequences","https://afrocritik.com/olisa-eloka-loose-cannon-review/"
"2024-11-09","Hijack ‘93","1.5/5","“Hijack ‘93” Review: Robert O. Peters’ Thriller Fails to Take Flight","https://afrocritik.com/robert-o-peters-hijack-93-review/"
"2024-10-26","At Ease","2.5/5","“At Ease” Review: Seun Richards’ Directorial Debut Is a Refreshing Take on War Trauma","https://afrocritik.com/seun-richards-at-ease-review/"
"2024-09-30","Tejiri","2/5","“Tejiri” Is a Timely Commentary on Justice and Governance in Africa","https://afrocritik.com/tejiri-review-timely-commentary-on-justice/"
"2024-08-24","Family Vacation","2/5","“Family Vacation” Review: Voline Ogutu’s Feature Film Unpacks the Facade of Social Media Perfection","https://afrocritik.com/voline-ogutu-family-vacation-review/"
"2024-08-14","With Difficulty Comes Ease","3/5","“With Difficulty Comes Ease” Review: Korede Azeez’s Film Is a Masterful Blend of Art and Heart","https://afrocritik.com/with-difficulty-comes-ease-review-korede-azeez/"
"2024-07-27","Onye Egwu","1.9/5","“Onye Egwu” Review: The Uche Jombo-Directed Film is a Near Miss","https://afrocritik.com/uche-jombo-onye-egwu-movie-review/"
"2024-07-22","Mapantsula","3/5","“Mapantsula” Review: Oliver Schmitz’s Crime-Drama is a Gripping Portrayal of Apartheid-Era South Africa","https://afrocritik.com/oliver-schmitz-mapantsula-review/"
"2024-06-09","A Father’s Love","2/5","“A Father’s Love” Review: Sebastian Ukwa Directs a Poignant Story With Subtlety and Nuance","https://afrocritik.com/a-fathers-love-review-sebastian-ukwa-story/"
"2024-06-01","Kill Boro","2.8/5","“Kill Boro” Review: Courage Obayuwana’s Debut Feature Leaves A Lasting Impression","https://afrocritik.com/kill-boro-review-courage-obayuwanas-debut/"
"2024-05-11","Momiwa","2.8/5","“Momiwa” Review: Family is Redefined in the Biodun Stephen-Directed Drama","https://afrocritik.com/momiwa-review-biodun-stephen-directed-drama/"
"2024-05-03","Strained","2.9/5","“Strained” Review: Okechukwu Oku’s Film is Simple Yet Sophisticated","https://afrocritik.com/strained-review-okechukwu-oku-film/"
"2024-04-23","Soweto Blaze","1.7/5","“Soweto Blaze” Review: Brad Katzen’s Film Fizzles in Its Slapstick Attempt","https://afrocritik.com/soweto-blaze-review-brad-katzen-film/"
"2024-04-06","Heart of the Hunter","1.5/5","“Heart of the Hunter” Review: Another Action Thriller That Flatters to Deceive","https://afrocritik.com/heart-of-the-hunter-review-action-thriller/"
"2024-03-23","Abomkhulu","2.7/5","“Abomkhulu” Review: The Kganki Mphahlele-Directed Film is Fresh, Funny and Filled With Lessons","https://afrocritik.com/abomkhulu-review-kganki-mphahlele-film/"
