title,tmdb_votes,tmdb_rating,views,tmdb_id,slug,id
Maku,30431,8.5,6540,680,maku,a12c41e9-c5d8-4e47-83e4-8e85dd601fd9
The Ring,27859,8.4,0,120,the-ring,1bd52e5e-6e99-4f13-bc5e-5250180c53d0
WAY Home,22232,7.9,76,634649,way-home,b2fdafa5-0d34-4512-a5e0-80c537b5ff33
Squad,22201,5.9,0,297761,squad,49ea0948-cf13-4a62-91e9-48f2eceebba4
Venom,17338,6.8,4,335983,venom,6c67cf7c-bcb6-469b-bad6-04e033dcb04f
Player,17076,7.6,386,333339,player,6a136ca6-fe09-41c1-b4b9-a01971db5e60
Sunshine,16465,8.1,149266,38,sunshine,084018f3-7a10-46f4-ab37-08e0fee48e41
The Battle,15488,7.3,1084,122917,the-battle,de02222d-79de-4167-9f20-38e37c4fd5c3
I Need A Man,15214,7.6,2093,137113,i-need-a-man,f18f5bf4-d56e-4296-aa3e-98bf841de616
Shadows Of Two,11009,7.1,0,58574,shadows-of-two,67bc638b-60f6-41e3-8395-a85dac96a1e6
Movie,10893,7.6,0,502356,movie,49923b6e-0a07-4320-9c99-36b6937c70be
Beast and Beauty,10746,7.7,0,10020,beast-and-beauty,62e180c8-8f19-4f51-9786-9fc787dd3d0f
Breaking Dawn,9314,6.2,0,50619,breaking-dawn,c2209094-41b7-4a61-bfd5-dd4cdaab840f
The One,9314,6.2,0,50619,the-one,ba8d771a-9e1c-478f-8f30-788ec5ffebfc
The Game,7414,7.6,0,2649,the-game,e9789017-7841-4fff-996b-7135da3ccfc1
NO Time to DIE,7204,7.3,0,370172,no-time-to-die,b4e919bc-9034-44b5-b376-8eb4e540ea6a
BAD Boys,7019,6.8,0,9737,bad-boys,c05dea18-ffb9-4368-ba3a-816dac8f99a1
The Titans,6736,5.9,41,18823,the-titans,815c6159-2fec-4ce0-8554-f7ad7a850832
Three Secrets,5145,6.6,2158,338953,three-secrets,87e398b5-9c3c-4c3f-97ee-1d95524e0834
Three Besties,5145,6.6,12097,338953,three-besties,92a52f71-19f6-45ae-8219-e38a6db889cd
In to in,4520,6.9,1829867,9919,in-to-in,bb25a958-0e6b-4f04-9c77-6ee3ad9878e5
A Man'S Love,4292,8,4,11778,a-mans-love,339a3351-ea79-40bd-a68f-c895d9e9d630
Girl Next Door,4076,6.7,767,10591,girl-next-door,4cc3b4a6-ac68-4c8f-826b-5c177fb8d238
Without Remorse,2752,6.9,140,567189,without-remorse,c46a5ab6-aeb7-46dd-8941-2fafc185c2b6
Housemaid,2628,7.3,0,1368166,housemaid,7ad8fc63-946f-40f9-a392-9f0eb43e0001
Between US,2564,7,0,365942,between-us,e69a8d27-5b15-4aea-9347-f37a07cd544d
Revenge,2111,6.5,238,467938,revenge,5edd8862-782b-4d9b-851f-5f8431eee7e5
Just MY Luck,2032,6.2,0,10025,just-my-luck-2,51b969e4-16b1-406e-b922-50895a59031c
Heart of Stone,1928,6.7,330714,724209,heart-of-stone,acc236b3-fff4-4273-af39-463479b797b5
WAY Back,1784,7,0,49009,way-back,6e774d59-f331-4cb1-b487-fab2366173d0
Wanted Man,1504,6.5,18420,157849,wanted-man,5f608956-08f1-413f-9e6d-a0a0334e0a16
Backup Plan,1497,6.1,1,34806,backup-plan,309cb8f1-da07-4d23-922d-e33f1b064189
Lurk,1493,7.1,0,744857,lurk,fb34c38a-4a27-4643-abb2-13c96bdda0ab
Out Of Sight,1425,6.7,0,1389,out-of-sight,fead6afc-c5f9-4c3a-893a-0ac1d517460b
Oracle 1 1,1205,7.3,274,169881,oracle-1-1,6831b673-7ef7-4cc5-ac1e-581fd5f0a8c3
APA MI,1160,6.5,6279,54318,apa-mi,e3c0290c-88c3-4b26-9b4a-421af9fe24b8
Infinity,1068,6.1,0,667216,infinity,2ed9405a-e278-471f-8360-db926e79437f
Adora,1041,6.1,0,111190,adora,9dbc5808-97b7-4c2b-a98a-2097933e5876
Beating Hearts,1030,7.2,0,959604,beating-hearts,efa64918-e0a8-48d7-b451-e5101e4d6700
The Most Wanted,902,6.3,0,145220,the-most-wanted,b9034922-caa7-4aef-957d-34471dfb309d
Revenge PART 1,900,7.7,27556,1311031,revenge-part-1,8d8a9e89-3df9-4c20-99d8-7386e1a2da7e
Saints & Sinners,619,6.5,3316473,1027073,saints-sinners,d7f8d7b0-1306-46bc-a040-a09cb0ac288d
A Man of Love,577,6.9,197492,21588,a-man-of-love,6a3b6d1c-04a3-400b-9a45-e6f82e393547
Mystery,510,7.3,189,11305,mystery,09452525-8529-48c1-b2b9-3ec0d4fe4a46
Only SON,506,7.5,0,470878,only-son,f23486f9-b76d-48ee-90c1-c437e2b54f08
