year,section,rank,title,market,distributor,release_date,gross_label,gross_ngn,page,source_url,criteria,notes
2023,top_10_nollywood_2023,1,A Tribe Called Judah,Nollywood,,,"N1,408,277,541",1408277541,78,https://online.fliphtml5.com/ogfbg/mouh/#p=78,"Films released in 2023 and ended run by March 31, 2024; data source: Comscore.",
2023,top_10_nollywood_2023,2,Malaika,Nollywood,,,N303M,303000000,78,https://online.fliphtml5.com/ogfbg/mouh/#p=78,"Films released in 2023 and ended run by March 31, 2024; data source: Comscore.",
2023,top_10_nollywood_2023,3,Ada Omo Daddy,Nollywood,,,N219M,219000000,78,https://online.fliphtml5.com/ogfbg/mouh/#p=78,"Films released in 2023 and ended run by March 31, 2024; data source: Comscore.",
2023,top_10_nollywood_2023,4,Orisa,Nollywood,,,N128M,128000000,78,https://online.fliphtml5.com/ogfbg/mouh/#p=78,"Films released in 2023 and ended run by March 31, 2024; data source: Comscore.",
2023,top_10_nollywood_2023,5,Merry Men 3,Nollywood,,,N119M,119000000,79,https://online.fliphtml5.com/ogfbg/mouh/#p=79,"Films released in 2023 and ended run by March 31, 2024; data source: Comscore.",
2023,top_10_nollywood_2023,6,Kesari,Nollywood,,,N78M,78000000,79,https://online.fliphtml5.com/ogfbg/mouh/#p=79,"Films released in 2023 and ended run by March 31, 2024; data source: Comscore.",
2023,top_10_nollywood_2023,7,Something Like Gold,Nollywood,,,N60M,60000000,79,https://online.fliphtml5.com/ogfbg/mouh/#p=79,"Films released in 2023 and ended run by March 31, 2024; data source: Comscore.",
2023,top_10_nollywood_2023,8,Afamefuna,Nollywood,,,N55M,55000000,79,https://online.fliphtml5.com/ogfbg/mouh/#p=79,"Films released in 2023 and ended run by March 31, 2024; data source: Comscore.",
2023,top_10_nollywood_2023,9,The Kujus Again,Nollywood,,,N53M,53000000,79,https://online.fliphtml5.com/ogfbg/mouh/#p=79,"Films released in 2023 and ended run by March 31, 2024; data source: Comscore.",
2023,top_10_nollywood_2023,10,A Weekend To Forget,Nollywood,,,N50M,50000000,79,https://online.fliphtml5.com/ogfbg/mouh/#p=79,"Films released in 2023 and ended run by March 31, 2024; data source: Comscore.",
