year,category,rank,person,films,gross_label,gross_ngn,page,source_url,criteria,notes
2023,highest_grossing_actors_2023,1,Timini Egbuson,A Tribe Called Judah; The Kujus Again; Big Love; Honey Money; Something Like Gold; Unforgivable; The Bloom Boys; The Modern Woman; Maniac,N1.611B,1611000000,91,https://online.fliphtml5.com/ogfbg/mouh/#p=91,"Lead actor/actress, first or second supporting-lead actor in one or more films released in 2023 and played through March 31, 2024; data source: Comscore.",
2023,highest_grossing_actors_2023,2,Jide Kene,A Tribe Called Judah; Ifediche,N1.408B,1408000000,91,https://online.fliphtml5.com/ogfbg/mouh/#p=91,"Lead actor/actress, first or second supporting-lead actor in one or more films released in 2023 and played through March 31, 2024; data source: Comscore.",
2023,highest_grossing_actors_2023,3,Emeka Ike,Malaika,N303M,303000000,91,https://online.fliphtml5.com/ogfbg/mouh/#p=91,"Lead actor/actress, first or second supporting-lead actor in one or more films released in 2023 and played through March 31, 2024; data source: Comscore.",
2023,highest_grossing_actors_2023,4,Charles Okafor,Ada Omo Daddy,N219M,219000000,91,https://online.fliphtml5.com/ogfbg/mouh/#p=91,"Lead actor/actress, first or second supporting-lead actor in one or more films released in 2023 and played through March 31, 2024; data source: Comscore.",
2023,highest_grossing_actors_2023,5,Stan Nze,Afamefuna; Domitilla; The Trade; A Weekend To Forget,N170M,170000000,91,https://online.fliphtml5.com/ogfbg/mouh/#p=91,"Lead actor/actress, first or second supporting-lead actor in one or more films released in 2023 and played through March 31, 2024; data source: Comscore.",
2023,highest_grossing_actors_2023,6,Ramsey Nouah,"Merry Men 3; Love, Lust & Other Things",N151M,151000000,91,https://online.fliphtml5.com/ogfbg/mouh/#p=91,"Lead actor/actress, first or second supporting-lead actor in one or more films released in 2023 and played through March 31, 2024; data source: Comscore.",
2023,highest_grossing_actors_2023,7,Kunle Remi,Something Like Gold; The Kujus Again; Love & Lust & Other Things; Praise Party,N149M,149000000,91,https://online.fliphtml5.com/ogfbg/mouh/#p=91,"Lead actor/actress, first or second supporting-lead actor in one or more films released in 2023 and played through March 31, 2024; data source: Comscore.",
2023,highest_grossing_actors_2023,8,Ayo Makun,Merry Men 3; Almajiri,N137M,137000000,91,https://online.fliphtml5.com/ogfbg/mouh/#p=91,"Lead actor/actress, first or second supporting-lead actor in one or more films released in 2023 and played through March 31, 2024; data source: Comscore.",
2023,highest_grossing_actors_2023,9,Deyemi Okanlawon,Love In A Pandemic; Domitilla; Different Strokes; Osato; Maniac,N130M,130000000,91,https://online.fliphtml5.com/ogfbg/mouh/#p=91,"Lead actor/actress, first or second supporting-lead actor in one or more films released in 2023 and played through March 31, 2024; data source: Comscore.",
2023,highest_grossing_actors_2023,10,Odunlade Adekola,Orisa,N128M,128000000,91,https://online.fliphtml5.com/ogfbg/mouh/#p=91,"Lead actor/actress, first or second supporting-lead actor in one or more films released in 2023 and played through March 31, 2024; data source: Comscore.",
2023,highest_grossing_actresses_2023,1,Funke Akindele,A Tribe Called Judah,N1.408B,1408000000,92,https://online.fliphtml5.com/ogfbg/mouh/#p=92,"Lead actor/actress, first or second supporting-lead actor in one or more films released in 2023 and played through March 31, 2024; data source: Comscore.",
2023,highest_grossing_actresses_2023,2,Toyin Abraham,Malaika,N303M,303000000,92,https://online.fliphtml5.com/ogfbg/mouh/#p=92,"Lead actor/actress, first or second supporting-lead actor in one or more films released in 2023 and played through March 31, 2024; data source: Comscore.",
