id,name,biography,photo_url,known_for_department,popularity_score,is_spotlight,birth_date,birthplace
f94c3f15-518d-4318-86fb-109035bf69f8,Morgan Freeman,,https://image.tmdb.org/t/p/w500/jPsLqiYGSofU4s6BjrxnefMfabb.jpg,Acting,11.23,t,,
87bb211a-d7d8-4286-a20c-f7c1c7e9d71e,Eric Roberts,,https://image.tmdb.org/t/p/w500/NiWg1TaUcal7xn1ZQeyA2dLd5F.jpg,Acting,10.55,t,,
2d983200-670e-4093-a8b8-7a7f6f001ee1,Brad Pitt,,https://image.tmdb.org/t/p/w500/r9DzKQLNbh5QfXlrFGHoVNKER7X.jpg,Acting,9.64,t,,
7e864948-bd32-47d6-851d-490e1c456499,Idris Elba,,https://image.tmdb.org/t/p/w500/be1bVF7qGX91a6c5WeRPs5pKXln.jpg,Acting,5.10,t,,
8bea38ca-1e7b-4c58-abc3-11abafb6de57,Javier Bardem,,https://image.tmdb.org/t/p/w500/p5xjCovj1uzvA2SXrWLH78Nh1Jf.jpg,Acting,3.95,t,,
f6ca4331-4feb-4512-a65b-63487353e07e,Thandiwe Newton,,https://image.tmdb.org/t/p/w500/hZQLvxj7nV7pBrRyWTvWVz1CDi8.jpg,Acting,2.81,t,,
15d6e876-cc1b-4622-9d1a-2a628224696e,Jeff Bridges,,https://image.tmdb.org/t/p/w500/6ItMc51AeORUz6iIQxGnX3HEZaB.jpg,Acting,2.73,t,,
b8064377-030d-4172-8b74-da13e58084e5,Colleen Camp,,https://image.tmdb.org/t/p/w500/hNAIkUVtsQfpC95BDkXr1lmoI2F.jpg,Acting,2.55,t,,
5c2ae58f-4bf4-4a7b-b905-c655f0452d06,Kerry Condon,,https://image.tmdb.org/t/p/w500/8RO25vJxQSoNdhsVbiAHOsiGfvl.jpg,Acting,2.49,t,,
f417ec3e-4862-4f97-b690-0fa78007c831,Wes Anderson,,https://image.tmdb.org/t/p/w500/s03CeUeC5yAXyB1acqP0zGNo2SC.jpg,Directing,2.33,t,,
9cdad654-c9b4-4396-9d49-4a302b03322f,Damson Idris,,https://image.tmdb.org/t/p/w500/y0dcRs4GF6Xx23OxDr1ytc8thlL.jpg,Acting,2.30,t,,
